@relation 'final_electricity_dataset-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-V-R1,23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute connected_load_kw numeric
@attribute units numeric

@data
0.262333,2929.56
0.424755,4389.59
0.702939,6696.49
0.438825,4666.4
0.703829,5045.27
0.425646,4809.02
0.396438,3089.16
0.767943,7531.52
0.50935,3973.35
0.665895,5355.1
0.367409,3712.75
0.549243,6755.79
0.451113,4257.7
0.426892,4494.64
0.265717,1935.26
0.438825,4720.49
0.50187,4276.43
0.431523,4485.16
0.57293,3290.46
0.422974,4586.86
0.383259,2799.59
0.436509,4987.48
0.473375,5008.36
0.554764,5968.34
0.158326,1471.97
0.392876,5543.67
0.78041,7527.66
0.44203,4539.15
0.461086,5052.38
0.438468,4425.19
0.24577,2701.76
0.318789,2508.41
0.35512,5276.38
0.434194,4310.91
0.19537,2644.75
0.545503,3396.64
0.441496,4689.53
0.456812,4897.76
0.590383,4959.7
0.391095,5231.76
0.424399,3087.03
0.29902,2644.98
0.476046,4120.76
0.504363,3555.21
0.434016,4779.07
0.328762,1751.93
0.443455,4802.88
0.445592,4502.63
0.421193,4186.3
0.421015,4300.32
0.451825,4599.22
0.250935,3608.33
0.28602,1807.61
0.419947,4652.88
0.431523,4613.18
0.219768,1735.71
0.388246,5875.57
0.443633,5079.54
0.484595,4525.69
0.334817,6070.01
0.432769,4683.34
0.408905,5026.7
0.518789,7808.25
0.338914,1814.08
0.707213,7222.62
0.444346,4511.38
0.15886,2446.36
0.405165,5082.9
0.09813,2017.12
0.363491,3945.06
0.435441,4718.5
0.396794,4454.08
0.428139,4669.07
0.422618,4681.01
0.284061,5482.49
0.133749,3910.89
0.403206,4238.25
0.400712,5181.62
0.425289,4784.35
0.431701,4644.07
0.413535,4266.6
0.438646,4312.48
0.558326,4845.46
0.293856,1982.6
0.436331,2852.93
0.452004,4669.1
0.43366,4953.2
0.409083,6596.1
0.072841,1926.29
0.432769,4890.55
0.440784,4858.53
0.408014,4274.92
0.44488,4798.91
0.67106,5068.4
0.424043,4580.9
0.216028,2428.76
0.424933,5031.39
0.702048,6579.69
0.43366,4466.23
0.396972,3933.85
0.448798,4936.49
0.613535,6471.89
0.677115,7467.34
0.407124,4310.39
0.412645,4867.23
0.598753,5182.91
0.425824,4404.81
0.636331,5827.39
0.444702,4723.26
0.397329,2766.15
0.3813,4499.96
0.546394,7334.11
0.413179,4467.63
0.392876,6218.3
0.549243,3157.42
0.141763,3142.56
0.669991,5557.44
0.415494,4912.96
0.41211,4281.65
0.44862,5740.57
0.222084,2108.46
0.413713,4397.71
0.455744,4379.3
0.431701,4694.02
0.442743,4797.89
0.425289,4662.49
0.308816,6103.97
0.442921,4728.44
0.435619,3611.8
0.539092,4515.73
0.414782,4808.93
0.201247,3854.58
0.457168,4759.44
0.455031,4863.26
0.441496,4439.4
0.256634,2393.09
0.443277,4390.5
0.452538,4574.09
0.343366,2283.03
0.465361,6690.57
0.405165,4278.46
0.42707,4762.14
0.445948,4387.79
0.318789,3657.37
0.145147,2195.23
0.664114,3557.12
0.488335,3712.08
0.498664,5675.53
0.237578,3253.83
0.457881,4598.52
0.549777,4440.11
0.442208,4736.83
0.857881,5851.37
0.500801,4041.15
0.61496,4174.29
0.4374,4629.14
0.409617,4847.86
0.421371,4499.96
0.291184,2403.29
0.488513,2550.63
0.530721,6501.55
0.433304,4886.81
0.448264,4560.09
0.437756,4781.89
0.422084,3430.77
0.738201,8531.04
0.371861,1748.75
0.739448,5078.89
0.71683,9629.71
0.398397,4572.34
0.55423,4594.32
0.431523,3217.4
0.449332,5077.93
0.458949,4848.37
0.457524,3965.34
0.359573,3269.4
0.397863,4983.06
0.414604,4663.96
0.746928,5257.28
0.374354,2986.69
0.429029,4584.28
0.269991,4074.7
0.493856,2352.75
0.144435,1655.56
0.667498,6075.77
0.450223,4781.45
0.552805,5447.87
0.797863,8228.21
0.411398,2476.9
0.426714,4798.35
0.451647,4665.73
0.506679,2710.38
0.413535,4758.44
0.440071,2842.18
0.676224,7984.6
0.171327,2581.82
0.4374,4622.13
0.441852,4431.83
0.456812,4833.59
0.437756,5122.85
0.418522,4774.17
0.441318,4839.08
0.295815,4113.87
0.278183,6325.06
0.616919,7492.98
0.206411,4273.78
0.458949,4298.39
0.434907,5018.04
0.430454,4962.88
0.397863,4377.7
0.303473,3095.8
0.525022,3303.79
0.538557,5587.95
0.412823,4277.13
0.354942,3965.5
0.352805,5972.91
0.465361,5024
0.442386,5062
0.335886,3171.42
0.45699,4734.2
0.10561,1581.29
0.484061,2662.09
0.521104,3772.44
0.632057,3960.47
0.422796,4748.25
0.412289,4781.11
0.583437,6080.46
0.430098,5014.85
0.190383,2168.93
0.426536,4997.63
0.574354,7533.86
0.43081,4842.55
0.122885,2221.2
0.493856,4095.13
0.493678,7889.71
0.175779,3131.28
0.505788,3315.59
0.450935,6902.48
0.440784,4400.11
0.265361,3569.69
0.427427,4530.62
0.194835,3445.61
0.689047,5258.34
0.555654,3046.37
0.452894,4731.12
0.418522,5684.99
0.65325,3798.31
0.909172,6688.27
0.472841,4513.29
0.424577,5044.81
0.446126,4302.91
0.46358,5906.73
0.534283,5888.14
0.506857,2951.49
0.441496,4692.06
0.428495,4627.8
0.617453,5159.25
0.63081,4109.1
0.417275,4245.91
0.415672,4425.23
0.398753,1936.19
0.26732,2937.85
0.422618,5166.34
0.545681,3546.82
0.449154,4223.87
0.523063,4785.72
0.411398,4204.26
0.686732,5105.84
0.498664,5156.82
0.429207,4534.16
0.302939,4092.52
0.597863,5508.13
0.427605,4839.62
0.425111,4975.82
0.364381,4210.82
0.364737,3255.21
0.310419,4510.04
0.668923,3699.6
0.476759,2442.73
0.440427,4831.61
0.423508,5054.44
0.395013,4873.07
0.265895,1788.67
0.653606,5303
0.425467,4762.95
0.321638,4300.78
0.265183,3060.62
0.42992,4777.57
0.434194,4342.54
0.449866,4675.48
0.428851,4553.81
0.619412,5962.42
0.414604,4612.86
0.50187,3069.61
0.57667,5919.62
0.414426,4918.12
0.682814,7603.25
0.701158,6575.76
0.412823,4815.95
0.425467,4490.71
0.42707,4196.99
0.297952,3838.93
0.445236,4799.28
0.419234,4523.73
0.429207,4564.34
0.322885,2054.35
0.428673,4515.25
0.44577,4641
0.335352,1889.96
0.48228,5096.36
0.433304,4641.41
0.538557,5252.76
0.787355,10778.25
0.429564,4715.69
0.447373,4265.91
0.425646,4572.47
0.249154,2357.82
0.318077,5042.56
0.349955,4038.41
0.349421,2434.82
0.61211,4464.34
0.269457,3179.63
0.181122,2735.4
0.527872,4247.1
0.659127,6673.45
0.689225,5750.38
0.428317,4468.29
0.443633,3114.22
0.385574,2439.46
0.408549,4807
0.438646,4701.48
0.40463,5840.93
0.430276,4887.03
0.633482,3543.4
0.3626,2193.02
0.329118,4872.94
0.588602,4660.84
0.445592,4174.63
0.420837,4659.49
0.499733,3960.11
0.276224,2250.5
0.40748,4823.54
0.241318,1927.64
0.661264,4269.99
0.681389,3482.58
0.422262,4503.63
0.29065,3374.28
0.549777,4061.24
0.420481,4791.5
0.444167,5039.35
0.534639,5740.62
0.427961,4454.19
0.574889,6978.36
0.307925,4204.89
0.364025,4521.92
0.441318,4335.7
0.567409,8284.93
0.441318,4743.56
0.589849,5908.77
0.435975,4971.16
0.864292,9150.05
0.371505,5686.76
0.409617,4390.42
0.54016,3833.02
0.437222,5031.01
0.49813,3982.37
0.439181,4648.42
0.430632,3654.07
0.302939,2583.9
0.30276,2618.57
0.4374,4795.28
0.44114,4845.45
0.433126,5139.23
0.427605,4263.96
0.44114,4801.38
0.574533,7437.33
0.424755,5086.78
0.188068,2017.22
0.133393,1454.83
0.495815,3486.81
0.584328,5353.34
0.342832,3538.3
0.345859,5484.81
0.338557,4462.94
0.340873,2916.24
0.421906,4860.79
0.423152,4302.02
0.46073,2933.09
0.253963,3458.04
0.278896,4281.07
0.440606,4334.64
0.429386,4841.15
0.416028,4044.6
0.376492,4972.06
0.136776,1502.49
0.257524,2747.27
0.444346,4870.85
0.741229,7742.39
0.718967,6358.17
0.454675,4402.09
0.462689,5075.32
0.446305,4516.02
0.437044,4460.26
0.492965,3231.48
0.489403,5468.48
0.193411,1547.92
0.135174,1154.29
0.260374,3512.07
0.754586,8497.28
0.39911,5302.98
0.455744,3762.96
0.434372,5073.33
0.32894,4616.66
0.447551,4798.59
0.436866,4528.75
0.420837,4794.05
0.421549,4793.99
0.426892,4488.46
0.432947,4547.88
0.525913,5165.97
0.364025,5583.08
0.434016,4370.6
0.270347,2196.8
0.69902,8544.89
0.851647,8877.1
0.413535,4465.82
0.373642,3202.91
0.567587,4865.67
0.164559,3644.38
0.419056,4244.82
0.422262,4449.52
0.461086,5097.47
0.445058,4362.53
0.409795,4641.42
0.432413,4398.21
0.44488,4287.14
0.468388,4857
0.441318,4692.59
0.565093,7245.45
0.382725,5300.4
0.419056,4520.15
0.304363,4347.68
0.457881,4610.07
0.436866,4440.97
0.645236,8506.67
0.431523,4292.52
0.420125,4989.43
0.449154,4426.77
0.413001,4170.39
0.480321,5803.17
0.437222,4998.82
0.255031,4270.1
0.438468,4285.09
0.446305,4687.13
0.419947,4864.28
0.42707,4820.9
0.427783,5067.38
0.448085,4730.99
0.842565,6058.68
0.775779,8451.62
0.434194,4848.73
0.441852,4501.02
0.205521,1920.08
0.652004,4940.59
0.525378,3351.06
0.535174,3502.04
0.38041,4053.27
0.402315,2502.87
0.620481,4762.72
0.459305,5234.94
0.294212,3233.52
0.087979,2515.07
0.245948,3824.03
0.439359,4322.52
0.421015,4335.72
0.236687,2373.53
0.458237,4417.37
0.622618,5751.47
0.453606,5310.01
0.662689,6303.47
0.29439,1813.68
0.437044,4650.3
0.441318,4813.6
0.435441,4169.75
0.216741,2358.32
0.122529,1286.75
0.476224,3054.04
0.360819,4589.12
0.422796,4969.38
0.444346,4493.33
0.460018,4893.29
0.478718,4642.82
0.421549,4439.21
0.547462,5413.29
0.535174,5671.33
0.446661,4652.93
0.428139,4632.07
0.29528,4374.96
0.455744,3982.41
0.413535,5050.14
0.412823,6371.33
0.373998,4713.6
0.521104,7326.46
0.091362,1897.09
0.480321,3810.08
0.677827,4280.26
0.424577,5125.7
0.108459,2400.45
0.424933,4680.35
0.413001,4111.76
0.437222,2839.6
0.425646,4502.5
0.446839,4987.52
0.549065,4907.19
0.442921,4843.71
0.437222,4854.11
0.758148,8937.26
0.322707,2945.85
0.278005,2471.14
0.642743,4162.65
0.320214,3362.36
0.849688,4743.48
0.735352,6164.3
0.535174,7153.15
0.453785,4442.33
0.416385,5040.6
0.452182,5247.01
0.426892,4360.58
0.366162,3769.9
0.442743,4654.96
0.151736,4702.2
0.364381,3325.82
0.433126,4768.32
0.242565,2442.84
0.247195,1707.41
0.594479,5140.58
0.26821,2766.69
0.440784,4403.59
0.427961,4818.86
0.6748,6316.92
0.438112,4968.8
0.395191,4646.59
0.429564,4567.25
0.095815,817.48
0.431523,4747.92
0.620481,5200.76
0.409261,4795.2
0.4374,4837.76
0.664292,3308.8
0.425111,3854.04
0.424221,4561.63
0.427605,4723.79
0.426002,4337.59
0.414069,4729.58
0.228317,2455.31
0.448976,3402.72
0.495637,5667.26
0.565272,6512.51
0.274978,3117.69
0.426714,4337.31
0.605877,7393.35
0.331077,3033.07
0.424755,4415.77
0.724488,5258.74
0.434907,4394.63
0.279786,3089.38
0.860018,8684.8
0.388424,3383.17
0.44114,4818.2
0.632769,3428.5
0.076759,3657.53
0.433838,4583.96
0.413357,4467.43
0.439003,4553.69
0.560285,4284.28
0.424755,4629.73
0.457703,4924.97
0.423508,4600.81
0.398753,4445.79
0.316118,3631.16
0.364203,3888.8
0.510419,5855.93
0.410329,4079.12
0.405699,5405.1
0.646839,5055.36
0.150134,1805.48
0.417453,4461.21
0.705432,6353.93
0.455031,5014.79
0.451113,4781.57
0.417988,4510.84
0.442921,4443.72
0.322707,4045.07
0.375601,3530.88
0.287088,2962.06
0.628495,6315.94
0.634194,6240.63
0.441674,4935.74
0.63081,9044.49
0.42244,4992.02
0.50276,4887.5
0.44114,4351.43
0.441674,4405.71
0.822618,8901.25
0.406768,4609.46
0.440784,4429.77
0.48317,4791.47
0.547284,4233.59
0.50561,7447.86
0.419768,4627.94
0.291719,3397.27
0.447195,4641.29
0.365984,4878.15
0.578807,4269.38
0.634728,8092.19
0.304898,3842.18
0.413179,4327.97
0.285841,1885.7
0.424577,4412.12
0.318789,4027.9
0.468566,4757.73
0.240249,1730.52
0.418166,4896.66
0.481211,7015.53
0.426536,4367.53
0.437756,4803.67
0.654675,3768.16
0.414069,4453.05
0.443811,4900.03
0.136064,4598.93
0.438646,4582.55
0.430632,4618.38
0.52805,5354.19
0.419412,4587.93
0.289938,3157.77
0.483526,3987.55
0.393589,4454.64
0.438825,2788.47
0.445592,2553.89
0.688691,6993.27
0.198397,1146.42
0.58504,4028.48
0.446661,5207.35
0.459484,4737.97
0.116118,1104.54
0.360641,2235.31
0.141407,1768.95
0.64862,5524.89
0.380588,2413.28
0.321638,3216.24
0.42707,4357.84
0.440249,4234.88
0.539448,4660.28
0.179875,2736.07
0.420125,4257.43
0.39626,3334.77
0.42707,4404.24
0.443455,4639.71
0.430454,5206.15
0.451647,3999.81
0.443277,4402.65
0.175423,3256.28
0.368299,2271.6
0.422974,4757.29
0.360819,2493.42
0.463045,3213.72
0.426002,4789.24
0.417453,4304.03
0.43455,4708.37
0.3626,3175.18
0.377204,5254.69
0.443277,4644.81
0.449688,4607.88
0.359573,2217.09
0.42992,4646.8
0.305076,2596.33
0.294568,3529.41
0.447373,4764.53
0.492075,4127.34
0.461264,4928.67
0.587533,6118.37
0.42333,4889.32
0.442386,4401.96
0.425467,4749.34
0.385396,3173.84
0.434016,4678.49
0.540695,8049.68
0.243099,1346.07
0.435797,4919.76
0.574354,6661.96
0.701514,7109.9
0.452894,4796.77
0.561354,4001.73
0.499911,4339.97
0.235619,2502.48
0.569902,3643.59
0.407124,4646.61
0.703295,7524.32
0.421906,4469.95
0.435263,4287.2
0.428851,4380.22
0.431167,4539.43
0.404096,2783.58
0.440427,5591.11
0.41122,4944.94
0.447373,4361.25
0.462689,4174.84
0.436331,4770.79
0.42992,4685.51
0.435619,4250.17
0.174354,1959.46
0.227961,2341.19
0.219947,3119.24
0.795726,7363.05
0.439181,4869.18
0.743366,8506.34
0.450935,4292.6
0.411932,4695.77
0.20748,3291.44
0.405877,5092.07
0.462333,4264.04
0.431345,4454.66
0.42992,4526.12
0.422618,4236.27
0.307213,1923.91
0.40837,3926.53
0.43829,4809.49
0.460552,4862.44
0.441318,5230.69
0.412645,4353.69
0.438112,4654.15
0.289225,3731.97
0.449688,5061.93
0.379519,5060.87
0.512199,5218.68
0.621906,5641.35
0.453606,4353.49
0.420481,4918.12
0.141407,2834.97
0.6,4959.58
0.308638,3803.68
0.457703,4635.22
0.474265,5038.68
0.441674,4637.27
0.438112,5150.03
0.252894,2946.82
0.686376,4552.1
0.422618,4513.31
0.395191,3418.4
0.431345,4834.85
0.374176,5317.66
0.304185,2971.45
0.560107,6236.64
0.829742,9011.55
0.406589,6335.38
0.410151,4664.24
0.092609,1521.08
0.437756,4801.1
0.447373,4364.41
0.270347,2199.45
0.246305,4115.11
0.454853,5096.36
0.421015,4571.5
0.44951,4647.35
0.415672,5787.37
0.351202,3388.68
0.609083,5394.99
0.399288,4262.88
0.779519,7451.54
0.431879,4570.65
0.697418,5948.54
0.339626,2923.96
0.438112,4209.26
0.365984,3615.45
0.412467,4930.92
0.408014,4330.27
0.287444,2229.39
0.436866,4787.99
0.247551,1715.94
0.616207,3570.96
0.065361,1574.71
0.425646,4355.41
0.437578,5109.95
0.432769,4513.29
0.606055,6444.03
0.421193,4378.28
0.437756,4673.21
0.449866,4561.38
0.469635,4482.79
0.42333,4416.85
0.418166,5117.44
0.551202,5910.99
0.434907,4296.84
0.534996,6737
0.795191,10112.08
0.457168,5091.7
0.628673,3491.4
0.400356,4244.41
0.681211,5606.03
0.445058,5094.5
0.416563,4824.17
0.326447,3322.32
0.431345,4720.91
0.446305,4438.46
0.499377,5031.6
0.391986,6578.72
0.402493,3522.42
0.755833,4870.55
0.352627,3219.42
0.450757,4684.14
0.8,6252.04
0.423152,5808.96
0.431879,4620.22
0.409617,4390.79
0.581834,4873.14
0.473553,4693.9
0.543722,5713.59
0.4187,4901.46
0.356723,3685.05
0.328406,3220.94
0.434907,4943.21
0.756189,7628.17
0.207124,4413.94
0.424577,4729.65
0.408727,4692.57
0.448442,4724.78
0.435263,4967.49
0.562778,5141.1
0.434194,3964.14
0.452004,5006.73
0.367053,3649.7
0.455744,5451.72
0.41959,4973.82
0.657881,8571.56
0.447729,4642.78
0.462155,4684.87
0.505432,5169.22
0.20748,2969
0.417631,4575.52
0.67569,5196.75
0.499199,3983.78
0.464648,4197.54
0.462511,4716.94
0.460018,5244.48
0.489403,3568.01
0.637756,4640.81
0.653785,5165.92
0.462867,3701.97
0.538023,7019.98
0.485307,4393.21
0.443811,4491.84
0.36171,5158.62
0.423508,4097.01
0.607836,4868.52
0.330543,1906.59
0.506144,6665.62
0.358326,3598.38
0.436687,2660.12
0.455744,2954.11
0.447195,4215.31
0.434728,5101.45
0.346394,6488.04
0.425824,4709.69
0.43829,4621.28
0.435085,4570
0.284951,2042.64
0.431523,4881.34
0.543544,3834.54
0.428673,4793.99
0.496883,5865.68
0.428139,4721.32
0.436509,4847.47
0.221193,5426.45
0.286198,3212.32
0.39626,3058.9
0.346572,3121.94
0.429742,4587.22
0.441852,4687.87
0.453963,4341.3
0.438468,4859.07
0.422974,4473.29
0.716118,7040.41
0.430276,5116.45
0.524488,6067.11
0.426002,4319.7
0.433482,4510.92
0.222084,3619.16
0.446483,5088.94
0.171505,2173.57
0.558148,6546.71
0.674622,8823.37
0.448798,4349.18
0.413179,4585.52
0.458059,5051.32
0.36171,4773.72
0.401247,2535.97
0.379697,2961.68
0.110062,1976.18
0.443989,4743.65
0.235085,1772.2
0.512021,6374.03
0.302226,3415.59
0.440071,4566.35
0.431345,5013.39
0.341585,2589.45
0.431701,4248.22
0.327694,4574.3
0.599466,5328.49
0.56545,4412.21
0.746928,5716.4
0.846839,5775.3
0.305788,3496.81
0.385218,2386.72
0.427961,4175.19
0.45699,4702.94
0.489938,5698.34
0.462511,3042.25
0.434372,4425.67
0.422084,4527.63
0.411576,4418.88
0.397329,5378.49
0.826714,5678.63
0.488335,4304.41
0.45325,3306.26
0.500445,6153.57
0.44203,4953.42
0.423687,6088.06
0.624577,5923.29
0.613357,6065.34
0.583793,9115.28
0.588958,3980.57
0.636687,6808
0.460196,4891.66
0.4374,4633.63
0.661086,5307.5
0.435441,4455.24
0.432769,4782.79
0.792342,7676.4
0.647729,7419.88
0.447373,2950.4
0.409261,4514.52
0.250401,2881.93
0.418878,4453.48
0.151024,965.94
0.431523,4099.31
0.455209,4729.31
0.369546,3702.2
0.418166,4664.22
0.538914,3511.25
0.549421,5550.18
0.748887,8434.56
0.429207,4385.69
0.584684,7076.43
0.438646,4666.09
0.282636,1527.31
0.49065,4059.68
0.635797,4771.7
0.412289,4494.15
0.453963,4680.74
0.790205,8409.37
0.421371,4503.74
0.39252,2480.53
0.626358,6779.68
0.424221,4545.24
0.159751,1963.03
0.723598,8768.68
0.419056,4367.01
0.44114,3321.08
0.417988,4938.27
0.427783,4496.12
0.315583,3110.96
0.372752,3910.49
0.423152,4834.93
0.436866,5089.07
0.398397,4996.33
0.015316,1236.98
0.1065,1242.33
0.258949,4438.38
0.196082,3034.57
0.546215,3851.55
0.513268,5201.5
0.429742,5072.54
0.457703,4396.9
0.436687,4446.82
0.433482,3475.26
0.426002,4386.9
0.425467,4433.68
0.415316,4553.26
0.444524,4667.14
0.430098,4504.01
0.443633,4572.61
0.27943,5677.8
0.653606,5038.11
0.388424,2327.96
0.455744,5085.87
0.46358,4866.89
0.246305,2273.09
0.436509,5045.18
0.450223,4466.57
0.433304,4860.61
0.398041,5194.42
0.424221,4767.46
0.485129,4367.39
0.431523,4505.67
0.449866,4916.37
0.406589,4770.49
0.451647,4771.74
0.418522,3034.08
0.423687,4471.84
0.427605,4729.42
0.447017,4579.13
0.443099,4786.28
0.337667,4151.17
0.436153,4624.77
0.433126,4410.73
0.44577,4405.89
0.455387,4389.25
0.779697,7773.6
0.178094,2095.56
0.520926,6413.08
0.167765,3145.39
0.430276,4634.91
0.500801,4929.24
0.516652,5678.33
0.549599,4400.11
0.14675,1465.43
0.664648,7370.41
0.451825,5178.13
0.460374,4332.96
0.652182,6436.88
0.433482,4130.77
0.410686,4727.04
0.415138,4643.73
0.389671,3306.85
0.5626,4351.28
0.455209,4955.26
0.24488,4360.81
0.436509,4342.83
0.586999,5367.45
0.441852,2194.6
0.42992,4194.69
0.41211,4959.61
0.424933,5046.12
0.26358,3115.05
0.186821,3648.05
0.454141,4156.38
0.642565,6799.3
0.450223,5062.88
0.410151,4711.35
0.09813,2051.3
0.549955,5400.55
0.361175,4203.42
0.433304,4791.73
0.437222,4965.79
0.425111,4381.69
0.774176,5486.13
0.453428,4485.82
0.433304,4374.22
0.226714,3095.4
0.106679,2424.64
0.415672,4894.6
0.423687,4361.6
0.464648,6507.31
0.482992,7535.32
0.432947,4651.13
0.269635,3581.37
0.428673,4770.25
0.425467,4344.5
0.403384,4585.32
0.519858,6007.5
0.421728,4554.07
0.450935,5062.85
0.472306,3553.85
0.463224,3774.67
0.472306,5285.98
0.437044,4342.41
0.649688,4867.23
0.434016,4975.41
0.43081,4530.78
0.632235,9624.84
0.3439,3579.2
0.41496,4770.23
0.334639,2100.83
0.379341,6311.42
0.442386,4847.52
0.481923,5235.96
0.450223,3477.68
0.244702,3119.16
0.465183,5162.94
0.469635,4957.42
0.463045,5251.81
0.646483,5012.15
0.424043,4561.2
0.287979,4038.32
0.255565,3312.35
0.597329,5559.76
0.55138,5622.33
0.40285,4157.44
0.448976,4360.43
0.299377,4291.03
0.422262,4711.16
0.438112,4833.33
0.41585,4317.12
0.456456,4930.27
0.408549,4304.27
0.711843,5748
0.412289,4513.22
0.414426,4600.49
0.57667,3728.19
0.619234,4948.52
0.518433,5093.67
0.591095,6265.42
0.646839,5039.32
0.318789,4294.84
0.646483,8329
0.185574,2386.75
0.487979,3632.18
0.51024,4546.62
0.205343,3928.61
0.465717,4544.31
0.433482,4348.42
0.397863,5765.89
0.406589,4594.54
0.656456,7054.81
0.354586,3263.52
0.236331,4710.08
0.428495,4108.06
0.672841,5672.82
0.62244,6017.06
0.813535,5572.62
0.4374,4863.9
0.434372,4908.78
0.249688,3740.04
0.596972,6489.68
0.68602,7321.45
0.505966,5180.48
0.426536,4765.15
0.408014,4819.13
0.418166,4010.03
0.445236,4922.49
0.429029,4651.66
0.416919,5035.56
0.419768,4171.37
0.423687,4623.08
0.369902,3184.05
0.40089,4228.7
0.473553,2892.72
0.483882,3484.83
0.429742,4114.97
0.409083,4467.38
0.613357,4129.94
0.455387,4862.73
0.447017,2272.54
0.445058,4487.76
0.54016,4369.8
0.357614,4369.59
0.435085,4756.18
0.591986,6157.86
0.542832,6464.93
0.530187,4306.26
0.461086,6098.19
0.421193,4692.88
0.197329,2673.51
0.44577,4133.96
0.140873,2025.27
0.448798,4340.51
0.411932,4931.13
0.395548,4100.95
0.379519,5895.81
0.448442,4716.74
0.373108,2864.38
0.328228,2833.41
0.855209,8653.51
0.45236,5129.44
0.691006,5240.07
0.431523,4834.86
0.817275,8622.52
0.303117,3128
0.29439,2921.67
0.412645,4958.87
0.439181,4699.96
0.448976,5035.81
0.449866,4784.36
0.443989,4792.66
0.419768,4870.63
0.421371,4734.38
0.412467,5032.49
0.467142,4286.73
0.413179,4560.5
0.440071,4974.92
0.4187,4345.41
0.432947,4890.92
0.41585,4724.81
0.431167,4606.94
0.630454,4292.35
0.417453,6199.83
0.412645,4677.6
0.449154,4958.15
0.421015,4584.66
0.429742,4430.78
0.455209,4963.99
0.573286,5206.84
0.304541,3094.53
0.098664,3379.97
0.420837,5006.75
0.431523,4259.44
0.417453,4644.29
0.364203,2603.57
0.390917,4967.18
0.450935,5011.31
0.264648,5987.7
0.428495,4552.47
0.443989,4766.89
0.221193,3165.32
0.417809,4648.44
0.270703,4299.03
0.464114,6152.54
0.60748,7897.02
0.448442,4442.59
0.431701,4145.65
