@relation final_electricity_dataset-weka.filters.unsupervised.attribute.Remove-R22

@attribute fan numeric
@attribute refrigerator numeric
@attribute airconditioner numeric
@attribute television numeric
@attribute monitor numeric
@attribute monthlyhours numeric
@attribute tariffrate numeric
@attribute forecastwindproduction numeric
@attribute systemloadea numeric
@attribute smpea numeric
@attribute co2intensity numeric
@attribute actualwindproduction numeric
@attribute num_rooms numeric
@attribute num_people numeric
@attribute housearea numeric
@attribute is_ac numeric
@attribute is_tv numeric
@attribute is_flat numeric
@attribute ave_monthly_income numeric
@attribute num_children numeric
@attribute is_urban numeric
@attribute units numeric

@data
21.91,22.18,2.08,19.37,12.18,774.61,7.45,454.16,4119.72,52.93,483.51,433.05,2.06,4.94,785.14,0,1.03,0,25006,1.03,1.04,8502.05
13.62,22.93,1.95,13.12,0.97,535.09,7.98,1275.07,3772.86,49.34,351.34,1262.76,2.06,5.18,791.02,0,0.96,0,24818.99,0.96,0.99,4977.99
8.91,18.39,0,21.54,6.86,438.31,9.56,460.38,4064.24,56.33,468.11,461.28,2.05,5.03,762.17,0,0.98,0,24316.2,1,1.05,3055.99
19.23,23.43,2.03,4.89,1.01,519.44,9.57,455.12,4258.26,56.36,503.92,431.41,2,5.18,805.63,0,0.97,0,24392.64,1.02,1,4644.79
14.03,21.04,2.06,12.73,1.04,518.01,8.65,241.97,5179.84,123.57,397.91,268.78,1.95,4.99,770.21,0,1.02,0,24585.63,1.05,1.04,4638.47
13.42,22.88,1.92,13.36,1.03,515.52,8.66,353.41,4267.62,64.89,438.43,413.33,2.03,4.76,750.81,0,0.99,0,24042.87,1.04,0.97,4697.72
13.69,21.03,1.93,12.96,0.98,532.49,8.07,1163.65,4736.91,49.18,408.24,1352.58,2.02,4.99,784.68,0,0.99,0,24979.79,1.05,1,4413.95
14.16,21.52,2.03,13.45,1.04,501.95,8.67,60.49,2907.86,32.31,547.39,80.07,2.07,5.02,799.8,0,1.03,0,24421.96,0.98,0.99,4701.32
16.64,22.52,0,10.27,0.96,386.43,9.09,430.2,3987.55,56.12,472.81,435.59,2.09,4.83,803.41,0,1,0,25164.87,1.02,1,2266.67
12.48,22.92,3.08,4.88,0.98,369.48,8.71,460.64,4202.18,56.92,474.42,448.59,1.95,4.78,766.54,0,0.99,0,24074.41,1.04,1.05,3776.05
6.02,20.65,2.96,15.43,1.01,497.7,8.4,434.04,3923.31,54.47,471.41,436.45,2,5.17,770.38,0,1.05,0,25908.63,1.01,0.96,4964.97
14.31,23.09,1.98,12.85,1,536.67,8.06,35.07,4586.43,63.86,512.18,80.74,1.98,4.81,800.43,0,0.97,0,25204.92,1,0.97,4538.12
13.89,21.63,2.04,12.52,0.96,519.91,8.21,161.18,3163.81,43.22,469.64,439.28,2,4.96,790.83,0,1.04,0,25477.3,1.05,1.03,4546.77
10.36,22.01,0.96,11.42,0.98,533.33,8.39,424.62,4259.25,52.48,456.78,456.28,1.97,4.94,750.87,0,1.02,0,24401.48,1,1.01,3451.78
9.97,16.9,2.88,7.05,1.04,449.58,9.17,452.5,4106.52,54.94,490.46,423.7,1.91,4.94,766.96,0,1.04,0,25737.99,0.97,0.95,3662.41
9.05,21.84,1.05,10.28,0.98,514.55,8.43,463.91,4306.24,56.3,486.53,436.53,1.98,5.17,793.4,0,1.05,0,25773.01,1,1.03,3346.79
14.58,22.99,1.9,13.56,0.97,489.69,8.13,448.55,4212.85,56.81,492.92,445.91,3.04,3.1,856.7,1.01,0.96,0.97,19766.45,1.04,0.97,4756.1
5.83,24.03,0,17.96,1.01,349.89,7.79,461.21,4162.48,53,478.64,453.95,1.93,5.09,758.08,0,1,0,24204.63,1,0.98,2364.38
18.11,23.97,0.98,12.11,1.04,557.3,8.41,425.05,3989.85,55.91,460.31,422.86,2.1,5.07,754.32,0,1.03,0,25431.06,0.97,1.04,4718.23
6.07,17.36,0,11.36,1.03,281.97,8.02,434.43,4012.62,55.44,502.41,443.49,1.92,5.02,826.88,0,0.96,0,23580.46,1.01,0.98,1284.95
19.57,24.11,0,2.91,0.99,487.02,9.4,447.31,3900.55,56.57,466.28,466.5,1.98,4.83,774.35,0,1,0,25685.87,1.04,1.03,2678.65
13.56,22.21,1.96,12.53,1.02,513.09,8.05,122.11,3333.58,34.44,619.38,69.36,2.02,4.92,792.09,0,1.03,0,25406.23,1.01,1.03,4609.47
14.62,21.09,1.99,13.25,1.01,495,8.3,1035.74,5380.66,42.74,480.98,842.57,2.02,5.19,791.37,0,0.96,0,24094.82,0.95,0.99,4772.83
14.59,21.21,1.92,13.18,1.01,533.38,8.52,757.3,4962.93,43.1,462.04,876.57,1.96,4.83,816.87,0,1,0,25356.74,1.05,0.99,4682.7
9.21,19.29,1,18.56,1.01,515.49,8.12,440.08,4117.06,54.94,499.27,464.1,1.93,5.01,772.78,0,1.01,0,25316.85,0.98,1.03,3783
14.25,21.1,2.09,13.54,0.99,536.8,8.15,303.94,4721.5,64.23,409.25,206.52,2.05,4.94,791.18,0,1.05,0,25140.34,1.05,1.04,5237.09
5.18,18.26,0,5.06,0.97,202.38,8.77,444.87,3998.18,52.52,458.13,429.14,2.04,4.95,802.07,0,1.03,0,24758.03,0.96,1,717.03
14.56,22.27,2.02,12.66,1.01,536.82,8.27,488.37,4404.96,50.22,503.71,412.36,2.06,5.1,800.15,0,0.99,0,25307.4,0.95,1.02,4839.7
13.75,21.29,2.09,13.61,0.97,510.16,8.22,100.36,4919.06,59.44,548.37,174.44,2.05,5.23,811.43,0,1,0,25921.77,1.02,0.96,4677.8
4.77,21.81,0,16.82,0.98,332.91,8.25,435.04,4179.47,55.39,489.98,444.91,2.1,5.08,782.49,0,0.95,0,24048.87,1,1.03,1901
14.08,22.06,1.92,13.01,0.97,535.6,8.44,62.01,4514.84,57.68,500.35,78.41,1.96,5.17,807.07,0,1.04,0,25889.13,0.98,0.99,4612.82
13.6,22.23,2.91,4.93,0.99,637.45,7.83,456.05,4091.78,55.56,502.17,446.99,2,5.23,829.18,0,1.04,0,24487.23,0.98,1,6219.19
19.24,22.28,0,17.6,11.67,515.64,8.01,463.19,4150.37,53.83,489.27,426.36,1.92,4.95,795.66,0,1.04,0,23662.67,1.02,1.05,4000.39
13.92,21.66,2.08,12.83,1.01,528.93,8.41,65.89,2945.29,50.58,620.49,89.71,2.09,5,782.26,0,1.04,0,23510.57,1.03,0.99,4455.52
13.66,21.39,2.02,12.54,0.99,497.94,8.29,725.94,4802.99,50.96,469.81,478.3,1.91,4.77,767.34,0,0.96,0,23648.44,1,1.04,4171.88
16.79,22.8,1.95,17.91,1.04,564.97,9.22,459.93,3987.79,54.24,483.41,437.53,1.9,4.89,821.12,0,0.98,0,25884.96,0.96,0.96,5338.18
13.9,22.91,2.1,13.53,1.01,494.92,8.56,133.96,3977.8,48.22,574.45,174.62,1.99,5.18,761.31,0,0.96,0,24537.08,0.96,1.01,4605.96
13.44,21.23,1.91,12.9,1.02,526.75,8.54,515.26,3281.67,49.64,581.9,459.17,1.94,4.78,774.57,0,1.03,0,24695.31,0.97,0.98,4237.38
8.87,22.37,1,12.58,0.99,497.21,7.92,421.09,4120,55.18,467.21,440.59,1.93,4.84,756.13,0,1.05,0,25943.29,1.01,1.03,3602.81
14.27,22.36,2.04,12.64,1,503.15,8.39,47.69,3075.62,49.45,516.64,54.8,2.1,4.85,779.3,0,1.02,0,25523.12,1,1.03,4664.41
11.44,23.86,2.02,7.91,0.98,479.62,9.47,436.59,4043.65,56.87,476.45,451.95,1.99,5.25,753.37,0,1.01,0,23568.5,1.01,0.97,4313.4
13.25,21.15,0.96,15.58,11.85,544.88,7.97,444.3,4270.65,54.71,497.17,435.82,2,5.2,780.5,0,1.02,0,25295.47,0.98,0.98,4378.74
5.18,23.88,1.97,9.92,1.02,411.09,9.41,442.13,4282.14,54.34,483.08,461.63,1.92,5.18,826.72,0,1.04,0,25789.23,0.96,0.95,3181.37
13.32,22.41,1.96,13.09,1.01,507.88,8.25,722.93,2928.06,32.42,380.22,765.09,1.92,5.15,800.86,0,1.01,0,25215.64,1.04,1.02,4880.02
14.37,22.35,1.99,13.37,0.98,522.61,8.39,401.31,4324.84,46.34,586.4,203.8,2.03,4.9,785.09,0,1.02,0,25394.81,1.04,0.98,4642.94
12.51,23.1,1,19.68,1.03,590.4,7.5,460.68,4216.32,54.35,486.15,436.54,1.95,5.08,789.69,0,1.03,0,23925.09,1.04,1.04,5170.75
14.5,20.99,2,12.68,1.02,526.1,8.7,628.61,3839.15,66.52,341.68,582.13,2.02,5.12,812.49,0,0.96,0,25077.71,0.99,1.03,4932.85
14.58,22.53,2.04,13.42,1.04,524.52,8.54,844.09,3442.66,51.91,358.35,803.72,1.94,4.91,816.74,0,0.95,0,25705.49,1.04,0.98,4621.65
11.05,22.21,1.94,3.06,11.83,596.78,7.55,444.32,4129.89,56.85,502.8,461.19,2.04,5.17,797.52,0,1.05,0,24529.32,1,1.03,5336.74
11.57,22.01,1,7.88,1.01,458.36,9.22,431.57,4050.76,57.85,472.43,444.02,1.98,4.79,787.77,0,0.97,0,23699.73,0.96,0.97,3062.3
19.11,22.52,1.02,9.01,0.98,416.34,8.15,460.71,4077.28,54.57,482.54,465.83,2.07,5.2,762.08,0,0.97,0,24889.45,1.03,0.98,3036.24
8.18,21,0.96,14.43,0.98,548.4,9.53,463.59,3904.33,55.4,465.41,429.13,1.95,4.93,763.47,0,1.05,0,24208.08,1.01,1,3828.68
13.79,21.5,2.09,13.03,1.04,535.13,8.42,892.54,2909.32,33.19,468.84,751.76,1.99,5.08,783.2,0,0.98,0,24602.63,1.01,1.03,4537.5
14.44,22.44,1.94,3.89,1.04,585.88,8.44,425.29,3957.3,54.78,467.26,452.14,1.94,5.21,753.9,0,1.05,0,25826.97,0.98,0.96,4690.28
14.16,21.99,1.94,13.13,1.04,506.48,8.04,218.37,3976.72,61.55,529.12,277.87,2.09,5.16,828.47,0,1.02,0,25208.63,1.04,1.03,4518.18
14.2,21.78,1.95,12.59,0.97,511.69,8.14,1159.22,3411.13,34.53,432.84,996.08,1.96,4.92,776.14,0,0.99,0,25875.01,0.98,1.03,4761.98
13.46,21.57,1.91,13.05,1.01,507.96,8.66,103.84,2966.59,42.95,591.66,225.02,2.01,4.82,771.71,0,1.03,0,24365.41,1,1.03,4746.69
13.89,22.65,2.99,7.79,0.96,520.45,8.11,424.95,4245.3,53.78,493.92,448.48,2,5.06,810.84,0,0.96,0,24213.2,0.98,0.98,5068.73
5.78,22.37,0,5.11,1.05,229.39,9.6,430.47,4029.2,52.62,479.68,454.03,2.03,4.79,819.87,0,0.95,0,24794.98,1.01,1.04,1066.05
13.82,22.87,1.97,12.99,0.97,489.7,8.13,670.04,4444.03,63.54,510.83,821.13,2.07,4.8,782.22,0,1.04,0,25859.05,0.98,0.99,4798.55
16.34,23.25,0.96,17.94,1.01,445.24,8.97,433.05,4281.87,55.58,484.1,444.61,2.1,4.84,794.9,0,1.02,0,24070.06,0.98,1.03,3850.78
16.23,22.41,3.15,21.25,11.49,630.6,7.93,459.4,4146,53.85,471.91,430.38,1.98,4.83,764.07,0,1.01,0,23768.81,0.96,1.01,8377.38
11.09,22.84,1.95,12.6,0.97,600.37,7.8,428.19,4080.03,55.33,486,425.52,2.08,4.81,780.8,0,1.04,0,25082.66,0.97,0.95,4882.37
22.51,24.1,0,20.88,0.98,718.09,9,460.03,4244.75,55.16,463.83,461.16,1.92,4.82,805.28,0,0.97,0,24616.37,1.04,1.01,6086.28
19.73,23.06,1.93,22.15,11.6,622.13,9.23,462.11,4110.85,53.22,485.95,429.65,2.04,5.1,778.91,0,0.96,0,23590.81,1.02,1,6883.61
11.06,22.3,2.9,15.77,12.35,598.46,7.51,423.9,4109.58,53.3,478.52,457.32,1.97,5.03,750.64,0,1.05,0,23548.77,1.04,1.02,7493.65
14.38,22.09,1.93,13.15,1.04,495.83,8.26,1246.58,3272.3,24.36,354.83,1238.13,1.94,4.82,780.38,0,1.03,0,25475.64,1.03,0.98,4580.95
14.33,21.83,2.1,12.8,0.96,527.79,8.48,1175.63,3760.14,45.54,298.98,958.03,1.91,5.23,766.77,0,0.98,0,23846.16,0.98,1.04,4821.74
22.11,22.7,1.94,9.89,0.96,596.97,9.32,456.16,3933.29,57.75,470.75,429.42,1.92,4.87,769.25,0,0.96,0,25057.92,0.99,1.04,5720.78
14.58,21.09,0,18.69,1.03,527.23,8.12,430.38,4164.5,57.92,486.39,430.93,2.01,4.89,815.68,0,0.95,0,23643.24,0.99,1.01,3644.26
13.46,22.03,2,12.37,1,499.2,8.04,122.91,4491.95,47.87,434.09,91.98,1.93,5.23,779.98,0,1.05,0,24137.21,0.98,1,4763.31
22.32,21.94,3.11,18.21,12.28,740.6,7.68,427.18,4256.21,54.71,501.59,461.53,2.04,4.99,756.61,0,1,0,25100.59,0.97,1.01,10277.91
14.35,22.21,2.05,12.72,0.95,525.5,8.05,683.94,2611.71,45.95,449.37,601.75,1.94,5.14,755.95,0,0.99,0,24738.06,0.98,1.02,4723.84
18.89,21.46,2.04,4.88,1.03,369.46,8.2,457.76,4173.96,52.83,496.21,433.26,1.93,4.82,789.49,0,1.01,0,25653.37,1,1.02,3040.79
16.49,23.76,2.03,8.6,0.97,440.81,7.74,432.34,4129.27,56.12,469.7,461.69,1.98,5.04,786.47,0,0.97,0,24160.16,1.05,1.01,3685.38
12.55,22.79,1.95,7.64,0.96,425.21,8.62,449.2,4290.58,53.48,488.5,456.43,2.1,4.8,758.26,0,1,0,25523.78,1.03,1.03,3507.63
13.83,22.5,2,12.36,0.98,501.16,8.25,374.17,4692.53,51.25,396.9,422.69,1.93,5.22,778.5,0,1.03,0,23520.35,1,1.04,4711.57
13.59,22.13,1.95,12.7,1.04,492.34,8.08,42.37,4285.45,46.59,605.63,57.47,1.92,5.08,816.76,0,1,0,25306.08,1,1.01,4089.91
14.37,21.26,1.9,12.89,1.05,522.03,8.22,87.95,4595.09,87.77,486.58,48.63,2.05,4.86,784.42,0,1.02,0,24296.75,1,1.03,4315.67
14.23,22.09,1.99,12.47,1.02,539.17,8.1,325.61,4463.96,94.08,430.86,449.63,2.06,5.13,813.1,0,0.98,0,24914.21,1.03,0.99,5210.9
14.64,21.08,2.04,12.83,1,536.1,8.45,1243.8,3557.66,32.79,402.95,1124.31,1.98,5.2,751.15,0,0.96,0,25337.64,1.02,0.98,4768.87
22.8,22.53,3.05,14.48,0.97,619.21,7.66,428.43,4066.09,57.67,481.51,424.29,2.08,5.23,767.83,0,0.96,0,23642,1.02,1.03,7072.11
5.75,22.67,0.97,17.82,0.96,481.93,7.88,463.54,4101.86,53.05,491.62,437.45,2.03,5.06,781.78,0,0.99,0,24616.08,0.98,0.99,3411.34
13.56,21.83,2.04,12.52,0.96,520.24,8.11,1078.29,2998.14,48.28,417.46,1053.37,2.08,5.17,812.11,0,0.96,0,23554.43,0.97,0.95,4587.29
14.76,21.93,1.99,10.38,0.99,458.52,7.48,460.26,4129.64,56.84,482.46,429.09,1.96,5.05,756.11,0,0.98,0,24264.94,0.97,0.96,4310.32
13.42,21.43,2.09,13.35,1.02,500.39,8.13,766.03,4468.22,65.86,469.33,669.2,1.95,5.21,765.64,0,0.96,0,25455.84,1,0.96,4446.4
20.17,21.76,0,7.3,1.03,517.09,7.8,445.36,4289.86,57.83,474.4,432.98,1.9,4.97,801.69,0,0.97,0,24742.2,0.98,1,3056.58
17.14,22.45,1.01,12.37,1.03,461.55,8.56,443.45,4032.22,57.15,487.68,461.92,1.91,5.01,797.58,0,0.96,0,25725.12,1.04,0.99,3772.87
20.67,22.32,3.01,17.32,1,513.76,7.23,451.73,4199.92,54.47,457.12,445.9,2.06,4.87,798.69,0,1.04,0,25653.2,1.03,1.02,5791.75
10.06,20.4,0,22.44,1.04,423.38,8.59,463.12,3924.85,56.16,487.04,465.98,1.95,5.13,761.62,0,1.04,0,24163.94,0.96,1.04,2914.76
5.08,22.8,2.02,10.62,1.03,538.64,9.08,451.34,4240.65,57.9,494.7,447.29,1.95,4.77,775.28,0,0.99,0,23835.78,0.99,1,4227.97
21.86,23.96,1.92,2.95,0.96,597.46,8.08,458.11,3964.75,53.38,481.85,443.75,1.95,4.9,751.72,0,0.98,0,25340.25,1,0.98,5410.18
22.05,23.26,0.96,17.97,1.03,572.63,8.08,458.78,3962.86,52.54,474.19,466.5,2.06,5.11,788.9,0,0.96,0,25208.7,0.96,1.01,4684.93
20.24,21.33,2.88,22.53,11.46,610.9,8.43,447.7,4242.07,53.98,465.1,463.6,2,4.79,819.99,0,0.98,0,24422.52,1.03,1,8451.45
13.7,21.51,1.93,13.39,1.04,538.3,8.21,500.51,4922.93,64.49,517.91,414.12,1.98,4.81,801.07,0,1.04,0,24858.7,1.03,0.98,4751.19
22.07,22.77,0,16.69,1.04,453.07,7.84,420.8,4224.4,56.79,500.39,445.84,2.05,5.07,820.69,0,1,0,24301.12,0.98,0.95,3168.37
19.09,20.95,0.98,14.54,1.03,483.49,9.54,437.52,3984.26,55.78,471.63,455.77,2.04,5.06,796.37,0,1.02,0,25646.92,0.97,0.97,3755.95
16.49,23.55,2.03,16.66,11.56,778.04,8.66,460.86,4290.75,56.22,486.45,439.08,1.9,4.77,804.63,0,1,0,25147.58,1.05,1,8273.81
23.52,22.67,2.88,2.91,1.03,562.4,8.04,428.64,3974.59,55.87,473.28,427.7,2.06,5.05,776.12,0,0.98,0,24359.52,1.04,0.97,6019.67
22.16,22.75,0,16.16,1.02,586.92,7.74,426.64,3966.78,53.58,458.52,464.42,2.05,4.86,784.15,0,0.99,0,23529,0.99,1,4272.15
13.88,22.81,2.09,12.51,0.96,496.42,8.25,389.11,6148.64,101.23,464.49,512.03,1.9,4.76,808.67,0,1.03,0,24292.27,1.04,1.05,4756.65
22.02,21.4,3.13,7.25,0.96,647.66,8.46,443.61,4258.61,55.94,490.98,450.24,1.92,4.88,757.13,0,1.02,0,24478.59,1,1.02,7091.88
6.71,21.98,1.94,3.86,0.96,494.29,8.56,428.44,3938.09,56.23,497.56,450.13,1.9,5.02,754.32,0,0.97,0,24494.65,1.02,0.98,3661.59
13.74,21.33,2.08,13.64,1,498.57,8.81,607.98,5075.23,98.18,409.61,480.13,1.91,4.93,766.27,0,1.01,0,25336.34,1,1.05,4323.72
20.96,22.92,0,9.54,1.01,630.73,8.91,448.16,4039.45,57.4,475.77,429.18,2,5.12,800.76,0,1.02,0,23720.97,1.02,1.02,4260.86
13.51,21.13,1.91,13.39,0.97,523.93,8.52,712.44,2989.29,35.97,422.86,749.36,1.94,4.81,824.34,0,1.03,0,25393.7,0.98,0.97,4666.24
16.64,22.4,0.98,3.94,0.99,532.5,8,455.25,4234.04,56.07,474.33,431.41,2.02,5.03,751.55,0,1.04,0,24823.81,0.96,1.03,3602.82
6.14,18.83,1.91,19.83,1,507.43,8.18,436.39,4308.75,57.85,485.61,462.67,2,4.81,797.85,0,0.95,0,23568.29,1.02,0.99,4691.04
14.53,21.79,2.03,12.61,0.98,531.34,8.44,434.24,3755.58,87.09,513.26,506.15,2.04,5,796.61,0,1.02,0,24034.36,1.05,0.98,4432
14.17,22.58,2.04,13.08,0.98,512.92,8.3,1071.71,4606.94,47.07,399.11,1076.5,1.94,5.1,815.46,0,1.03,0,25024.91,1.04,1.01,4731.12
10.22,16.93,0,19.96,1.02,328.91,9.26,448.08,3933.6,55.45,466.55,425.77,2,4.96,770.74,0,1,0,25629.38,1.04,1,1858.39
14.55,22.19,1.94,13.65,1.01,536.93,8.51,23.24,4087.23,125.13,569.1,27.52,2.08,4.82,756.11,0,0.95,0,23935.67,0.98,1.01,5043.35
4.89,22.92,1.95,7.23,0.97,549.97,8.46,438.04,4141.62,53.93,466.25,439.7,2.04,5.09,753.49,0,0.99,0,24193.59,1.04,0.97,4381.08
15.99,23.3,0,16.26,12.3,754.91,7.48,451.6,3900.06,55.78,486.49,435.85,1.97,5.21,775.73,0,0.96,0,25839.76,0.96,1.04,5777.87
17.04,22.35,2.89,14.31,11.74,640.21,7.75,424.44,4228.08,55.56,488.15,444.65,1.92,5.02,773.27,0,1,0,24735.85,1,0.95,7157.14
14.34,21.42,1.97,13.34,0.97,526.37,8.46,813.74,4705.78,51.34,514.32,581.99,1.94,5.24,774.58,0,0.97,0,24860.36,1.02,0.98,4379.72
14.59,23.02,1.96,13.56,1.05,537.29,8.42,97.05,4549.53,51.37,515,141.19,2.05,4.93,827.02,0,0.99,0,24734.78,0.99,1.03,4604.43
14.03,20.97,1.99,13.17,0.95,527.58,8.64,94.74,3831.7,71.83,469.34,81.49,2.06,5.14,757.83,0,0.97,0,25697.4,0.96,1.01,5042.13
20.21,22.43,0,19,1.03,540.31,7.41,428.75,4247.37,54.88,499.78,466.27,2.06,4.96,816.65,0,1,0,25388.37,0.96,1.03,4069.13
14.21,21.87,2,10.38,1.03,652.62,8.02,423.46,4065.63,55.43,490.47,453.9,2.04,4.89,763.55,0,1.04,0,25140.24,1.03,0.97,5621.62
21.76,22.02,3.1,11.4,1.02,686.04,9.31,463.08,4165.65,55.12,457.14,443.13,1.91,5.13,773.52,0,0.95,0,25006.36,0.99,0.97,7673.66
14.02,23.06,2.03,12.8,1,491.51,8,303.83,4423.88,69.11,543.09,355.26,2.04,5.19,761.95,0,1.01,0,23844.42,1.03,1.01,4810.81
14.24,21.69,1.95,13.14,1.02,516.76,8.25,335.88,2624.1,56.33,638.72,182.69,1.99,5.04,800.7,0,0.97,0,24035.77,0.99,0.99,4969.23
6.09,20.06,0,9.4,6.87,557.27,9.27,462.34,3900.84,53.41,478.51,445.59,2.07,5.18,783.79,0,1,0,23548.88,0.98,1.01,2929.56
13.32,21.76,2.07,13.35,1.04,521.17,8.04,1370.4,4800.45,65.27,344.08,1265.16,2.06,5.14,796.99,0,0.96,0,25620.25,0.99,0.95,4389.59
21.07,24,1,20.06,1.03,726.96,7.94,426.94,4161.04,55.87,476.06,457.92,2.07,5.08,786.73,0,1.02,0,24427.6,1.04,1.04,6696.49
